year,province,inpatient_discharges,avg_inpatient_cost,total_expenditure,population,pilot_population,exposure,gdp_per_capita,elderly_population,aging_rate,physicians_per_1000,beds_per_1000
2022,Chongqing,"5,030,664","9,766.8","49,133,489,155",3213,,100.00%,89562,6024,18.75%,2.94,7.81
2022,Sichuan,"13,724,478","9,237.5","126,779,865,525",8374,,40.00%,68804,15546,18.56%,3.08,8.17
2022,Guizhou,"6,782,084","6,757.6","45,830,610,838",3856,,40.00%,53398,4789,12.42%,2.84,8.03
2022,Yunnan,"7,988,409","7,346.0","58,682,852,514",4693,,40.00%,62456,5608,11.95%,2.82,7.27
2022,Tibet,"286,073","9,290.8","2,657,847,028",364,,40.00%,61244,220,6.04%,3.04,5.49
2022,Shaanxi,"6,474,873","9,548.9","61,827,914,790",3956,,40.00%,83529,5948,15.04%,3.18,7.32
2022,Gansu,"3,300,095","7,087.5","23,389,423,313",2492,,40.00%,46381,3429,13.76%,2.9,7.58
2022,Qinghai,"794,749","8,710.0","6,922,263,790",595,,40.00%,61857,623,10.47%,3.19,7.22
2022,Ningxia,"986,439","8,391.6","8,277,801,512",728,,40.00%,71137,778,10.69%,3.12,5.74
2022,Xinjiang,"3,882,345","8,294.1","32,200,557,665",2587,,40.00%,71679,2223,8.59%,2.73,6.94
2021,Beijing,"3,498,164","26,254.4","91,842,196,922",2189,,100.00%,202607,3300,15.08%,5.14,5.95
2021,Tianjin,"1,626,065","19,976.6","32,483,250,079",1373,,100.00%,116618,2315,16.86%,3.77,5
2021,Hebei,"10,198,594","10,853.6","110,691,459,838",7448,,12.82%,55265,11769,15.80%,3.41,6.11
2021,Shanxi,"4,347,762","10,127.9","44,033,698,760",3480,,12.89%,66249,5043,14.49%,3.26,6.58
2021,Inner_Mongolia,"3,108,646","9,378.0","29,152,882,188",2400,,2.34%,89880,3518,14.66%,3.51,6.94
2021,Liaoning,"6,102,773","11,625.6","70,948,397,789",4229,,19.46%,67117,8424,19.92%,3.12,7.67
2021,Jilin,"3,461,063","12,596.7","43,597,972,292",2375,,16.81%,56268,4205,17.71%,3.68,7.43
2021,Heilongjiang,"4,402,372","11,316.3","49,818,562,264",3125,,29.23%,48579,5553,17.77%,3.1,8.34
2021,Shanghai,"4,472,088","22,959.8","102,678,246,062",2489,,100.00%,189107,4600,18.48%,3.38,6.44
2021,Jiangsu,"14,156,314","13,034.8","184,524,721,727",8505,,7.78%,141153,15354,18.05%,3.21,6.45
2021,Zhejiang,"10,830,189","12,142.5","131,505,569,933",6540,,10.84%,118028,9815,15.01%,3.56,5.66
2021,Anhui,"9,473,351","8,935.7","84,651,022,531",6113,,13.44%,70556,9997,16.35%,2.82,6.72
2021,Fujian,"5,602,034","10,841.3","60,733,331,204",4187,,6.50%,118837,5117,12.22%,2.65,5.35
2021,Jiangxi,"8,578,879","9,723.4","83,415,872,069",4517,,15.13%,66043,5936,13.14%,2.47,6.8
2021,Shandong,"18,171,478","11,311.3","205,543,039,101",10170,,9.40%,83440,17152,16.87%,3.37,6.63
2021,Henan,"19,088,912","9,658.4","184,368,347,661",9883,,5.24%,58320,14644,14.82%,3.01,7.3
2021,Hubei,"12,119,500","11,224.1","136,030,479,950",5830,,18.92%,86554,9524,16.34%,2.91,7.44
2021,Hunan,"15,057,584","9,093.3","136,923,128,587",6622,,4.34%,68971,10849,16.38%,2.91,8.04
2021,Guangdong,"17,300,290","14,103.8","243,999,830,102",12684,,6.53%,100820,12252,9.66%,2.52,4.64
2021,Guangxi,"10,640,272","9,385.4","99,863,208,829",5037,,6.18%,50341,6716,13.33%,2.62,6.33
2021,Hainan,"1,282,641","12,449.6","15,968,367,394",1020,,9.25%,64063,1168,11.45%,2.91,6.02
2021,Chongqing,"7,297,813","9,697.6","70,771,271,349",3212,,100.00%,87502,6041,18.81%,2.87,7.5
2021,Sichuan,"18,567,031","9,263.3","171,991,978,262",8372,,1.45%,65856,15590,18.62%,2.99,7.91
2021,Guizhou,"8,394,361","6,690.7","56,164,151,143",3852,,7.86%,51677,4799,12.46%,2.74,7.71
2021,Yunnan,"9,920,469","7,254.9","71,972,010,548",4690,,14.74%,59276,5601,11.94%,2.68,7.04
2021,Tibet,"322,881","8,540.3","2,757,500,604",366,,0.00%,58609,225,6.15%,2.9,5.37
2021,Shaanxi,"7,279,055","9,159.2","66,670,320,556",3954,,25.87%,77068,5861,14.82%,3.05,7.2
2021,Gansu,"4,441,802","7,013.3","31,151,689,967",2490,,9.08%,42508,3439,13.81%,2.84,7.36
2021,Qinghai,"972,793","9,334.9","9,080,925,376",594,,40.46%,58067,622,10.47%,3.16,7.1
2021,Ningxia,"1,078,886","8,812.6","9,507,790,764",725,,0.00%,64543,772,10.65%,3.11,5.68
2021,Xinjiang,"4,627,405","8,931.8","41,331,055,979",2589,,13.88%,64845,2217,8.56%,2.73,7.19
2020,Beijing,"2,553,809","26,847","68,561,854,842",2189,,100.00%,175856,2604.5,11.90%,4.92,6.46
2020,Tianjin,"1,295,921","20,252","26,245,251,276",1387,,100.00%,102675,1888,13.61%,3.55,5.03
2020,Hebei,"10,283,301","10,373","106,672,794,593",7464,,12.82%,49388,9768,13.09%,3.21,6.55
2020,Shanxi,"4,261,679","10,139","43,207,458,709",3490,,12.89%,52105,4116.5,11.80%,3.12,6.56
